STATE_NAME,CITY_NAME,HERITAGE_NAME,HERITAGE_TYPE,IMAGE_NAME
Tamil Nadu,TIRUPPUR,"Eswaran Temple, Nallur",Temple,TIRUPPUR_Eswaran_Temple_Nallur.jpg
Tamil Nadu,TIRUPPUR,Perumal Temple,Temple,TIRUPPUR_Perumal_Temple.jpg
Tamil Nadu,TIRUPPUR,"Angalamman Temple, Muthanampalayam",Temple,TIRUPPUR_Angalamman_Temple_Muthanampalayam.jpg
Karnataka,Shivamogga,Shivappa Nayak Palace,Palace,Shivamogga_Shivappa_Nayak_Palace.jpg
Karnataka,Hubli,Chandramouleshwar temple,Temple,Hubli_Chandramouleshwar_temple.jpg
Karnataka,Hubli,banashankari temple,Temple,Hubli_banashankari_temple.jpg
Karnataka,Hubli,Someshwar temple,Temple,Hubli_Someshwar_temple.jpg
Karnataka,Hubli,Amruteshwar temple,Temple,Hubli_Amruteshwar_temple.jpg
Andhra Pradesh,Kakinada,Sri Bhavannarayana Swami Temple,Temple,Kakinada_Sri_Bhavannarayana_Swami_Temple.jpg
Madhya Pradesh,Indore,Rajawada Palace,Palace,Indore_Rajawada_Palace.jpg
Madhya Pradesh,Indore,Krishnapura chhatri,Monument,Indore_Krishnapura_chhatri.jpg
Madhya Pradesh,Indore,Lal bagh Palace,Palace,Indore_Lal_bagh_Palace.jpg
Madhya Pradesh,Indore,Boliya sarkar chatri,Monument,Indore_Boliya_sarkar_chatri.jpg
Madhya Pradesh,Indore,Mahatama gandhi hall,Monument,Indore_Mahatama_gandhi_hall.jpg
Madhya Pradesh,Indore,Phooti Kothi,Building,Indore_Phooti_Kothi.jpg
Madhya Pradesh,Indore,Bilawali talab,Lake,Indore_Bilawali_talab.jpg
Madhya Pradesh,Indore,Sirpur talab,Lake,Indore_Sirpur_talab.jpg
Madhya Pradesh,Indore,Dev Dharam,Building,Indore_Dev_Dharam.jpg
Madhya Pradesh,Indore,Yeswant Sagar Dam,Dam,Indore_Yeswant_Sagar_Dam.jpg
Madhya Pradesh,Indore,"Malhar Ashram, School",Building,Indore_Malhar_Ashram_School.jpg
Madhya Pradesh,Indore,Ahilya Ashram,Building,Indore_Ahilya_Ashram.jpg
Madhya Pradesh,Indore,Gopal mandir,Temple,Indore_Gopal_mandir.jpg
Madhya Pradesh,Indore,Yashwant Niwas Palace,Palace,Indore_Yashwant_Niwas_Palace.jpg
Madhya Pradesh,Indore,Harshidi temple,Temple,Indore_Harshidi_temple.jpg
Madhya Pradesh,Indore,Bhandari Kothi,Building,Indore_Bhandari_Kothi.jpg
Madhya Pradesh,Indore,Annop Bhawan,Building,Indore_Annop_Bhawan.jpg
Madhya Pradesh,Indore,KEM Medical Colloge,Building,Indore_KEM_Medical_Colloge.jpg
Madhya Pradesh,Indore,MGM Hospital,Building,Indore_MGM_Hospital.jpg
Madhya Pradesh,Indore,Holkar College,Building,Indore_Holkar_College.jpg
Madhya Pradesh,Indore,Yashwant Club,Building,Indore_Yashwant_Club.jpg
Madhya Pradesh,Indore,Devilalikar Kala Vitika,Building,Indore_Devilalikar_Kala_Vitika.jpg
Madhya Pradesh,Indore,Devilalikar art school,Building,Indore_Devilalikar_art_school.jpg
Madhya Pradesh,Indore,Kanch Mandir,Temple,Indore_Kanch_Mandir.jpg
Madhya Pradesh,Indore,Rang Mahal,Palace,Indore_Rang_Mahal.jpg
Madhya Pradesh,Indore,Sheesh mahal,Palace,Indore_Sheesh_mahal.jpg
Madhya Pradesh,Indore,Ahilya bai libaray,Building,Indore_Ahilya_bai_libaray.jpg
Madhya Pradesh,Indore,General Library,Building,Indore_General_Library.jpg
Madhya Pradesh,Indore,Nath mandir,Temple,Indore_Nath_mandir.jpg
Madhya Pradesh,Indore,Vir savarkar market,Building,Indore_Vir_savarkar_market.jpg
Madhya Pradesh,Indore,Kahrajan mandir,Temple,Indore_Kahrajan_mandir.jpg
